,Make,Model,Registration,Location,Transmission,Seats,Fuel_Type,Fuel_Eco,Insurance_Group,CO2,Milage,Year,Price(£),Price_diff,Price on New(£),Price per month,APR,Reserved,URL
915,Vauxhall,Astra 1.6 CDTi 110 Tech Line 5dr,DX67VOB,Castle Donnington,Manual,5,Diesel,85,13E,88,18326,2017,12799,6421.0,19220.0,257.24,7.9,False,https://www.availablecar.com/used-cars/vauxhall-astra-35142
916,Citroen,C3 1.2 PureTech 82 Flair Nav Edition 5d17in,MW68CYL,Sutton in Ashfield,Manual,5,Petrol,51,8E,109,12905,2019,12799,3591.0,16390.0,257.24,7.9,False,https://www.availablecar.com/used-cars/citroen-c3-33645
917,Audi,A1 1.4 TFSI 125 Sport 3dr Comfort,SP66KPJ,Castle Donnington,Manual,4,Petrol,57,21E,115,25485,2016,12799,4051.0,16850.0,257.24,7.9,False,https://www.availablecar.com/used-cars/audi-a1-22915
918,Nissan,Juke 1.6 112 Bose Personal Edition 5dr,DT68OHW,Cannock,Manual,5,Petrol,34,9E,186,36052,2019,12799,5971.0,18770.0,257.24,7.9,False,https://www.availablecar.com/used-cars/nissan-juke-20147
919,Vauxhall,Corsa 1.6T VXR 3dr 18in Alloys Carbon,FG17EGE,Leeds,Manual,5,Petrol,37,30A,174,28680,2017,12799,6091.0,18890.0,257.24,7.9,False,https://www.availablecar.com/used-cars/vauxhall-corsa-16802
920,Vauxhall,Astra 1.6 CDTi 136 SRi Vx-line Nav,DN67VSA,Castle Donnington,Manual,5,Diesel,61,15E,121,37875,2017,12899,10106.0,23005.0,259.25,7.9,False,https://www.availablecar.com/used-cars/vauxhall-astra-63063
921,Peugeot,2008 1.6 BlueHDi 120 GT Line,XX15AJM,Castle Donnington,Manual,5,Diesel,76,22E,96,48979,2017,12899,8681.0,21580.0,259.25,7.9,False,https://www.availablecar.com/used-cars/peugeot-2008-62920
922,Vauxhall,Astra 1.4 100 SRi,DK68ZNW,Leeds,Manual,5,Petrol,51,8E,128,19483,2018,12899,7151.0,20050.0,259.25,7.9,False,https://www.availablecar.com/used-cars/vauxhall-astra-56944
923,Vauxhall,Astra 1.4T 150 SRi,SG18EBA,Leeds,Manual,5,Petrol,51,16E,128,14096,2018,12899,7601.0,20500.0,259.25,7.9,False,https://www.availablecar.com/used-cars/vauxhall-astra-56761
924,Ford,C-Max 1.6 125 Zetec Nav,YM17PCF,Cannock,Manual,5,Petrol,44,16E,149,19127,2017,12899,7416.0,20315.0,259.25,7.9,False,https://www.availablecar.com/used-cars/ford-c-max-56619
925,Peugeot,208 1.2 PureTech 82 Signature,EO69KPY,Castle Donnington,Manual,5,Petrol,51,11E,110,3359,2019,12899,2251.0,15150.0,259.25,7.9,False,https://www.availablecar.com/used-cars/peugeot-208-56540
926,Vauxhall,Corsa 1.4 90 SRi Vx-Line 5dr,HY18EUZ,Sutton in Ashfield,Automatic,5,Petrol,47,6E,139,16531,2018,12899,3571.0,16470.0,259.25,7.9,False,https://www.availablecar.com/used-cars/vauxhall-corsa-56283
927,Nissan,Qashqai 1.5 dCi 110 N-Tec+ 5dr,SN65WEU,Leeds,Manual,5,Diesel,70,15E,103,57822,2015,12899,11326.0,24225.0,259.25,7.9,False,https://www.availablecar.com/used-cars/nissan-qashqai-55766
928,Citroen,C4 Cactus 1.2 PureTech 82 Feel Edition,LC18XUR,Sutton in Ashfield,Manual,5,Petrol,60,11E,108,22374,2018,12899,4171.0,17070.0,259.25,7.9,False,https://www.availablecar.com/used-cars/citroen-c4-cactus-55656
929,Ford,Focus 1.0 E/B 100 Titanium Nav,YM17WHZ,Cannock,Manual,5,Petrol,61,10E,105,18109,2017,12899,7916.0,20815.0,259.25,7.9,False,https://www.availablecar.com/used-cars/ford-focus-55294
930,Citroen,C3 Aircross 1.2 PureTech 82 Feel,P444CHA,Castle Donnington,Manual,5,Petrol,,,167,91694,2007,12899,1986.0,14885.0,259.25,7.9,False,https://www.availablecar.com/used-cars/skoda-roomster-54981
931,Volkswagen,Polo 1.2 TSI 90 Beats,RE17HNU,Cannock,Manual,5,Petrol,60,15E,109,23940,2017,12899,3036.0,15935.0,259.25,7.9,False,https://www.availablecar.com/used-cars/volkswagen-polo-53570
932,Vauxhall,Astra 1.6 CDTi 136 Design,DV68VZT,Sutton in Ashfield,Manual,5,Diesel,68,13E,107,11347,2018,12899,6751.0,19650.0,259.25,7.9,False,https://www.availablecar.com/used-cars/vauxhall-astra-53188
933,Audi,A1 1.0 TFSI 95 Sport,LN65YSX,Castle Donnington,Manual,4,Petrol,67,15E,97,14978,2015,12899,3376.0,16275.0,259.25,7.9,False,https://www.availablecar.com/used-cars/audi-a1-52893
934,Citroen,C3 1.2 PureTech 82 Feel Edition,LC19TVY,Sutton in Ashfield,Manual,5,Petrol,51,8E,109,11171,2019,12899,2936.0,15835.0,259.25,7.9,False,https://www.availablecar.com/used-cars/citroen-c3-51143
935,Ford,Fiesta 1.0 E/B 100 Zetec Nav,YR68GSZ,Sutton in Ashfield,Manual,5,Petrol,49,10E,110,23535,2018,12899,3891.0,16790.0,259.25,7.9,False,https://www.availablecar.com/used-cars/ford-fiesta-50929
936,Ford,Ecosport 1.0 E/B 125 Titanium 5dr 2WD 17in,NX67KME,Leeds,Manual,5,Petrol,52,11E,125,22234,2017,12899,4831.0,17730.0,259.25,7.9,False,https://www.availablecar.com/used-cars/ford-ecosport-49563
937,Ford,Fiesta 1.0 E/B 100 Titanium Nav,YR18XHA,Sutton in Ashfield,Manual,5,Petrol,65,10E,97,25961,2018,12899,3521.0,16420.0,259.25,7.9,False,https://www.availablecar.com/used-cars/ford-fiesta-41983
938,Toyota,Aygo 1.0 VVT-i X-Trend 5dr,KR19MGX,Leeds,Automatic,4,Petrol,54,7E,95,8975,2019,12899,331.0,13230.0,259.25,7.9,False,https://www.availablecar.com/used-cars/toyota-aygo-39299
939,Citroen,C3 1.2 PureTech 110 Flair,YV19UCH,Castle Donnington,Manual,5,Petrol,49,18A,107,26657,2019,12899,4536.0,17435.0,259.25,7.9,False,https://www.availablecar.com/used-cars/citroen-c3-38525
940,Ford,Focus 1.0 E/B 125 Zetec Edition 5dr App,YW18DZO,Castle Donnington,Manual,5,Petrol,60,13E,108,38829,2018,12899,7541.0,20440.0,259.25,7.9,False,https://www.availablecar.com/used-cars/ford-focus-35168
941,Abarth,595 1.4 T-Jet 145 3dr 17in Touring Alloys Red,LV18WJZ,Cannock,Manual,4,Petrol,47,29U,139,14476,2018,12899,2356.0,15255.0,259.25,7.9,False,https://www.availablecar.com/used-cars/abarth-595-34998
942,Ford,Fiesta 1.1 Zetec,FM19SZN,Leeds,Manual,5,Petrol,48,5E,114,9541,2019,12899,2546.0,15445.0,259.25,7.9,False,https://www.availablecar.com/used-cars/ford-fiesta-34440
943,Vauxhall,Mokka X 1.6i Elite 5dr,DF66OBR,Leeds,Manual,5,Petrol,42,8E,155,30883,2016,12899,9016.0,21915.0,259.25,7.9,False,https://www.availablecar.com/used-cars/vauxhall-mokka-x-31122
944,Renault,Megane 1.5 dCi 110 Dynamique S Nav,HV17VZJ,Cannock,Manual,5,Diesel,76,15E,96,34163,2017,12899,8096.0,20995.0,259.25,7.9,False,https://www.availablecar.com/used-cars/renault-megane-30881
945,Peugeot,2008 1.2 PureTech 110 Allure,YG67ZZY,Sutton in Ashfield,Manual,5,Petrol,64,17E,103,27263,2017,12899,5936.0,18835.0,259.25,7.9,False,https://www.availablecar.com/used-cars/peugeot-2008-10920
946,Vauxhall,Astra 1.6 CDTi 136 Elite,MF67FCV,Cannock,Manual,5,Diesel,72,17E,103,29391,2017,12999,9526.0,22525.0,261.26,7.9,False,https://www.availablecar.com/used-cars/vauxhall-astra-63625
947,Vauxhall,Astra 1.0T 105 SRi Nav,KR68BOH,Sutton in Ashfield,Manual,5,Petrol,58,10E,110,16097,2018,12999,8711.0,21710.0,261.26,7.9,False,https://www.availablecar.com/used-cars/vauxhall-astra-63251
948,Citroen,C4 Cactus 1.2 PureTech 82 Feel Edition,LC18XTD,Cannock,Manual,5,Petrol,60,11E,108,17776,2018,12999,4071.0,17070.0,261.26,7.9,False,https://www.availablecar.com/used-cars/citroen-c4-cactus-63075
949,Skoda,Fabia 1.0 TSI 110 Monte Carlo,DC18LUA,Castle Donnington,Manual,5,Petrol,64,11E,103,20217,2018,12999,3631.0,16630.0,261.26,7.9,False,https://www.availablecar.com/used-cars/skoda-fabia-62904
950,Mini,Clubman Cooper 1.5 6dr 17in Alloys Chili,DY16SZX,Cannock,Manual,5,Petrol,55,17E,121,61410,2016,12999,7051.0,20050.0,261.26,7.9,False,https://www.availablecar.com/used-cars/mini-clubman-62331
951,Fiat,Doblo 1.6 Multijet 95 Easy,RA19GAU,Sutton in Ashfield,Manual,5,Diesel,54,7E,158,5841,2019,12999,3956.0,16955.0,261.26,7.9,False,https://www.availablecar.com/used-cars/fiat-doblo-61631
952,Suzuki,Ignis 1.2 Dualjet SZ5,SJ68FNO,Sutton in Ashfield,Manual,4,Petrol Hybrid,54,17E,117,30617,2018,12999,,,261.26,7.9,False,https://www.availablecar.com/used-cars/suzuki-ignis-61626
953,Hyundai,I10 1.0 SE Connect,FE70ZRJ,Castle Donnington,Manual,5,Petrol,54,7E,119,3780,2020,12999,591.0,13590.0,261.26,7.9,False,https://www.availablecar.com/used-cars/hyundai-i10-61616
954,Peugeot,308 1.2 PureTech 130 Allure,SD18RSU,Cannock,Manual,5,Petrol,49,19E,113,28255,2018,12999,7276.0,20275.0,261.26,7.9,False,https://www.availablecar.com/used-cars/peugeot-308-61026
955,BMW,1 116d 1.5 Sport 5dr,VK66XOB,Castle Donnington,Manual,5,Diesel,72,15E,103,45018,2016,12999,10341.0,23340.0,261.26,7.9,True,https://www.availablecar.com/used-cars/bmw-1-series-59921
956,Nissan,Qashqai 1.2 DiG-T 115 Acenta 5dr 2WD Smart Vision,NA66JZM,Leeds,Manual,5,Petrol,50,14E,129,29955,2016,12999,7651.0,20650.0,261.26,7.9,False,https://www.availablecar.com/used-cars/nissan-qashqai-59912
957,Citroen,C3 1.2 PureTech 110 Flair,NK18SXM,Cannock,Manual,5,Petrol,61,16E,103,10223,2018,12999,3751.0,16750.0,261.26,7.9,False,https://www.availablecar.com/used-cars/citroen-c3-59903
958,Renault,Captur 0.9 TCE 90 Dynamique S Nav,SB17HJX,Sutton in Ashfield,Manual,5,Petrol,55,9E,114,9344,2017,12999,4531.0,17530.0,261.26,7.9,False,https://www.availablecar.com/used-cars/renault-captur-59866
959,Audi,A3 Sportback 1.6 TDI 110 SE Technik 5dr Pan,FD15AUW,Leeds,Manual,5,Diesel,74,17E,99,28641,2015,12999,9141.0,22140.0,261.26,7.9,True,https://www.availablecar.com/used-cars/audi-a3-59597
960,Suzuki,SX4 S-Cross 1.0 Boosterjet SZ-4 5dr,VF18CYA,Sutton in Ashfield,Manual,5,Petrol,56,16E,113,22552,2018,12999,4285.0,17284.0,261.26,7.9,False,https://www.availablecar.com/used-cars/suzuki-sx4-s-cross-59132
961,Nissan,Qashqai 1.6 DiG-T N-Tec+ 5dr,DX15OGC,Cannock,Manual,5,Petrol,47,16E,138,44867,2015,12999,10566.0,23565.0,261.26,7.9,False,https://www.availablecar.com/used-cars/nissan-qashqai-58944
962,Ford,Mondeo 1.5 E/B 160 Titanium,FL16DHM,Leeds,Manual,5,Petrol,47,23E,136,49635,2016,12999,10061.0,23060.0,261.26,7.9,False,https://www.availablecar.com/used-cars/ford-mondeo-58072
963,Volkswagen,Polo 1.0 65 SE,FD18GKO,Castle Donnington,Manual,5,Petrol,60,1E,108,27752,2018,12999,1436.0,14435.0,261.26,7.9,False,https://www.availablecar.com/used-cars/volkswagen-polo-56922
964,Citroen,C4 Cactus 1.2 PureTech 82 Flair,BU18ODA,Castle Donnington,Manual,5,Petrol,61,10E,107,13658,2018,12999,4656.0,17655.0,261.26,7.9,False,https://www.availablecar.com/used-cars/citroen-c4-cactus-55439
965,Peugeot,2008 1.2 PureTech 82 Allure,MJ67BZV,Cannock,Manual,5,Petrol,57,10E,114,23866,2017,12999,4436.0,17435.0,261.26,7.9,False,https://www.availablecar.com/used-cars/peugeot-2008-54801
966,Citroen,C4 Cactus 1.2 PureTech 82 Feel Edition,LC18XSN,Leeds,Manual,5,Petrol,60,11E,108,18273,2018,12999,4071.0,17070.0,261.26,7.9,False,https://www.availablecar.com/used-cars/citroen-c4-cactus-52481
967,Vauxhall,Mokka X 1.6 CDTi 136 Active 5dr,YM66ZBG,Leeds,Manual,5,Diesel,65,15E,114,30116,2017,12999,8861.0,21860.0,261.26,7.9,False,https://www.availablecar.com/used-cars/vauxhall-mokka-x-52105
968,Vauxhall,Insignia 1.6 CDTi 136 SRi Vx-Line Nav,DY17WHX,Sutton in Ashfield,Manual,5,Diesel,64,,116,39435,2017,12999,11951.0,24950.0,261.26,7.9,False,https://www.availablecar.com/used-cars/vauxhall-insignia-50130
969,Peugeot,2008 1.2 PureTech 82 Allure,KGZ3805,Leeds,Manual,5,Petrol,57,10E,114,3262038,2018,12999,4631.0,17630.0,261.26,7.9,False,https://www.availablecar.com/used-cars/peugeot-2008-49718
970,Citroen,C3 1.2 PureTech 83 Origins,FN69ZVT,Castle Donnington,Manual,5,Petrol,51,8E,96,15864,2019,12999,3606.0,16605.0,261.26,7.9,False,https://www.availablecar.com/used-cars/citroen-c3-47105
971,Vauxhall,Astra 1.4T 150 SRi Nav,DL19USX,Leeds,Manual,5,Petrol,45,16E,126,33107,2019,12999,,,261.26,7.9,True,https://www.availablecar.com/used-cars/vauxhall-astra-46682
972,Audi,A1 1.4 TFSI 125 Sport 3dr Comfort Pack 17in,AY65XLC,Leeds,Manual,4,Petrol,57,21E,115,42304,2015,12999,3676.0,16675.0,261.26,7.9,False,https://www.availablecar.com/used-cars/audi-a1-46653
973,Nissan,Juke 1.6 DiG-T 215 Nismo RS 5dr,M700RJF,Leeds,Manual,5,Petrol,39,22E,168,396257,2015,12999,8646.0,21645.0,261.26,7.9,False,https://www.availablecar.com/used-cars/nissan-juke-37489
974,Mazda,Mazda3 2.0 120 Sport Nav,YJ66DRW,Leeds,Manual,5,Petrol,55,17E,119,40837,2016,12999,7591.0,20590.0,261.26,7.9,True,https://www.availablecar.com/used-cars/mazda-mazda3-29556
975,Ford,Focus 1.0 E/B 125 Zetec Edition 5dr App,WG18WGX,Cannock,Manual,5,Petrol,60,13E,108,24394,2018,13099,7341.0,20440.0,263.27,7.9,False,https://www.availablecar.com/used-cars/ford-focus-59289
976,Ford,Mondeo 1.5 TDCi ECOnetic Zetec Nav 5dr Pan,YH17FOA,Castle Donnington,Manual,5,Diesel,78,17E,94,42622,2017,13099,8941.0,22040.0,263.27,7.9,False,https://www.availablecar.com/used-cars/ford-mondeo-58950
977,Ford,Fiesta 1.6 E/B 180 ST-2 3dr Style,CE66ZDH,Leeds,Manual,5,Petrol,47,30E,138,38819,2017,13099,5611.0,18710.0,263.27,7.9,False,https://www.availablecar.com/used-cars/ford-fiesta-58407
978,Honda,Civic 1.8 i-VTEC SE Plus Nav,MF66DKO,Sutton in Ashfield,Manual,5,Petrol,46,14E,145,32777,2016,13099,7246.0,20345.0,263.27,7.9,False,https://www.availablecar.com/used-cars/honda-civic-58210
979,Audi,A3 1.4 TFSI 150 S Line Nav,WD65KSE,Castle Donnington,Manual,5,Petrol,58,24E,111,70879,2015,13099,11411.0,24510.0,263.27,7.9,False,https://www.availablecar.com/used-cars/audi-a3-58052
980,Volkswagen,Polo 1.0 65 SE,BJ68LXS,Castle Donnington,Manual,5,Petrol,60,1E,108,23874,2018,13099,1711.0,14810.0,263.27,7.9,False,https://www.availablecar.com/used-cars/volkswagen-polo-57644
981,Ford,C-Max 1.0 E/B 100 Zetec Nav,FY18NTF,Castle Donnington,Manual,5,Petrol,50,14E,127,31354,2018,13099,8626.0,21725.0,263.27,7.9,False,https://www.availablecar.com/used-cars/ford-c-max-56767
982,Bmw,1 116d 1.5 EfficientDynamics Plus 5dr,LD17ECV,Cannock,Manual,5,Diesel,83,15E,89,59632,2017,13099,9886.0,22985.0,263.27,7.9,False,https://www.availablecar.com/used-cars/bmw-1-series-56561
983,Vauxhall,Astra 1.4T 150 SRi Vx-line Nav,DV67JWE,Castle Donnington,Manual,5,Petrol,51,16E,128,30429,2017,13099,8721.0,21820.0,263.27,7.9,False,https://www.availablecar.com/used-cars/vauxhall-astra-55788
984,Renault,Megane Sport Tourer 1.5 Blue dCi 115 Iconic,OU68XSK,Castle Donnington,Manual,5,Diesel,64,15E,119,45684,2018,13099,7756.0,20855.0,263.27,7.9,False,https://www.availablecar.com/used-cars/renault-megane-54988
985,Vauxhall,Insignia Tourer 1.6 Turbo D 110 Elite Nav,FE67VNK,Sutton in Ashfield,Manual,5,Diesel,61,14E,121,78377,2018,13099,12506.0,25605.0,263.27,7.9,False,https://www.availablecar.com/used-cars/vauxhall-insignia-54692
986,Mini,Cooper S 2.0 5dr Chili Pack 17in Alloys Visual,KW64LUJ,Castle Donnington,Manual,5,Petrol,47,26E,139,46588,2015,13099,5971.0,19070.0,263.27,7.9,False,https://www.availablecar.com/used-cars/mini-hatch-54609
